Subject,Condition,Guilt,Anger,Allocation,Pain,Attitude,Guilt_group,Anger_group,Prediction_error,abs_PE,PE_group,PE_group2,abs_PE_group,Pain_Attitude,Guilt_resi,Guilt_noAnger,Anger_resi,Anger_noGuilt,Index,Wager2015_expression
126,6,4,3,5.75,1,2,0,1,1,1,1,1,0,2,-0.138619231,6.62430232,1.115823576,4.314936277,102,-2.83E-02
128,1,7,2,7.25,2,1,1,1,-0.5,0.5,0,0,0,2,2.125063028,9.472690629,1.071231856,5.066715185,103,1.49E-02
128,2,7,2,5.75,2,3,1,1,6.5,6.5,1,1,1,6,2.125063028,9.472690629,1.071231856,5.066715185,104,2.78E-02
128,3,4,2,6.5,2,2,0,0,3,3,1,1,1,4,-0.874936972,6.472690629,-0.005325109,3.99015822,105,8.40E-03
128,4,3,6,6.75,1,1,0,1,-5.5,5.5,0,0,1,1,0.10487917,7.452506772,3.635822569,7.631305898,106,3.74E-02
128,5,5,2,6.25,1,3,1,0,1.5,1.5,1,1,0,3,0.125063028,7.472690629,0.353527213,4.349010541,107,-4.40E-03
128,6,4,1,4.25,1,2,0,0,-2,2,0,0,0,2,-1.369891008,5.977736594,-1.005325109,2.99015822,108,3.12E-02
130,1,5,3,2.75,2,1,0,1,0.5,0.5,0,1,0,2,0.983472158,7.450626069,1.407239623,4.578375758,109,-7.90E-02
130,2,7,1,6.75,2,3,1,1,7.5,7.5,1,1,1,6,2.044751921,8.511905831,-0.018440208,3.152695927,110,-6.62E-02
130,3,6,1,6.25,2,2,1,0,4,4,1,1,1,4,1.044751921,7.511905831,-0.305600292,2.865535842,111,-2.48E-02
130,4,1,3,1.75,1,1,0,1,-4.5,4.5,0,0,1,1,-3.016527842,3.450626069,0.258599286,3.42973542,112,-1.51E-02
130,5,5,1,5.75,1,3,0,0,2.5,2.5,1,1,0,3,0.044751921,6.511905831,-0.592760377,2.578375758,113,-4.57E-02
130,6,5,1,3.5,1,2,1,0,-1,1,0,0,0,2,0.044751921,6.511905831,-0.592760377,2.578375758,114,-5.18E-02
131,1,5,4,4.75,2,1,0,1,-1.5,1.5,0,0,0,2,1.406188242,7.994897537,2.286474745,7.311040789,115,-4.78E-02
131,2,6,1,5.25,2,3,1,0,5.5,5.5,1,1,1,6,0.987507643,7.576216938,-0.265175155,4.759390889,116,-3.34E-02
131,3,5,3,6.25,2,2,1,1,2,2,1,1,1,4,0.933294709,7.522004004,1.286474745,6.311040789,117,-2.84E-02
131,4,2,6,5.75,1,1,0,1,-5.5,5.5,0,0,1,1,-0.648024692,5.940684603,2.941424446,7.96599049,118,-6.70E-02
131,5,5,1,4.25,1,3,1,0,1.5,1.5,1,1,0,3,-0.012492357,6.576216938,-0.713525255,4.311040789,119,-2.68E-03
131,6,4,1,5,1,2,0,0,-2,2,0,0,0,2,-1.012492357,5.576216938,-1.161875354,3.862690689,120,-8.69E-02
132,1,6,3,7.75,2,1,1,1,-0.5,0.5,0,0,0,2,1.793761191,8.720491863,1.682350666,4.301056886,121,2.05E-02
132,2,7,1,10,2,3,1,1,6.5,6.5,1,1,1,6,1.828322678,8.75505335,-0.07853325,2.54017297,122,-7.55E-03
132,3,6,1,7.5,2,2,1,0,3,3,1,1,1,4,0.828322678,7.75505335,-0.317649334,2.301056886,123,-7.81E-03
132,4,4,3,5.75,1,1,0,1,-6.5,6.5,0,0,1,1,-0.206238809,6.720491863,1.204118497,3.822824717,124,-1.94E-02
132,5,5,1,10,1,3,0,0,0.5,0.5,1,1,0,3,-0.171677322,6.75505335,-0.556765419,2.061940801,125,-2.43E-02
132,6,3,1,8.5,1,2,0,0,-3,3,0,0,0,2,-2.171677322,4.75505335,-1.034997588,1.583708632,126,-3.98E-02
133,1,6,2,8.25,2,1,1,1,0.5,0.5,0,1,0,2,2.063206441,7.287680997,0.668885968,2.670256666,127,-2.84E-02
133,2,2,1,9,2,3,0,0,7.5,7.5,1,1,1,6,-2.37003104,2.854443516,-1.072823398,0.9285473,128,-3.38E-02
133,3,4,2,7.75,2,2,0,0,4,4,1,1,1,4,0.063206441,5.287680997,0.298031285,2.299401983,129,-3.32E-02
133,4,5,3,6.25,1,1,1,1,-4.5,4.5,0,0,1,1,1.496443922,6.720918478,1.483458627,3.484829325,130,-1.34E-02
133,5,3,1,7.5,1,3,0,0,2.5,2.5,1,1,0,3,-1.37003104,3.854443516,-0.887396056,1.113974642,131,-3.47E-02
133,6,5,2,7,1,2,1,1,-1,1,0,0,0,2,1.063206441,6.287680997,0.483458627,2.484829325,132,-3.30E-02
134,1,6,1,6.333333333,2,1,1,1,0.5,0.5,0,1,0,2,1.735668779,6.735695013,-0.337929924,1.350942687,133,-3.06E-02
134,2,5,1,6,2,3,1,1,7.5,7.5,1,1,1,6,0.735668779,5.735695013,-0.496179776,1.192692835,134,-6.09E-02
134,3,4,1,6,2,2,0,0,4,4,1,1,1,4,-0.264331221,4.735695013,-0.654429628,1.034442983,135,-4.96E-02
134,4,3,1,4.5,1,1,0,0,-3.5,3.5,0,0,0,1,-1.264331221,3.735695013,-0.81267948,0.876193131,136,-1.65E-02
134,5,5,1,5.25,1,3,1,1,3.5,3.5,1,1,1,3,0.735668779,5.735695013,-0.496179776,1.192692835,137,-3.12E-02
134,6,3,1,5.5,1,2,0,0,0,0,0,0,0,2,-1.264331221,3.735695013,-0.81267948,0.876193131,138,-1.68E-02
135,1,7,2,4.5,2,1,1,1,-0.5,0.5,0,0,0,2,3.742307719,7.429878721,0.836782261,2.676991609,139,7.63E-02
135,2,5,1,2.25,2,3,1,1,6.5,6.5,1,1,1,6,1.353745487,5.04131649,-0.506040501,1.334168847,140,5.86E-02
135,3,2,1,2.75,2,2,0,0,3,3,1,1,1,4,-1.646254513,2.04131649,-1.020274644,0.819934704,141,7.80E-02
135,4,2,4,1.75,1,1,0,1,-5.5,5.5,0,0,1,1,-0.480567819,3.207003183,1.979725356,3.819934704,142,1.00E-02
135,5,2,1,1.75,1,3,0,0,1.5,1.5,1,1,0,3,-1.646254513,2.04131649,-1.020274644,0.819934704,143,4.20E-02
135,6,2,1,1.333333333,1,2,1,0,-2,2,0,0,0,2,-1.646254513,2.04131649,-1.020274644,0.819934704,144,5.33E-02
136,1,2,2,5.5,2,1,0,1,0.5,0.5,0,1,0,2,-1.241535181,2.409469986,-0.626071449,3.072051241,145,2.92E-02
136,2,4,1,6,2,3,1,0,7.5,7.5,1,1,1,6,0.370965497,4.021970663,-0.960088822,2.738033868,146,-2.81E-02
136,3,6,1,5.75,2,2,1,0,4,4,1,1,1,4,2.370965497,6.021970663,-0.294106195,3.404016495,147,-8.30E-04
136,4,1,5,4,1,1,0,1,-4.5,4.5,0,0,1,1,-1.079037213,2.571967954,2.040937237,5.739059927,148,2.64E-02
136,5,1,3,5.25,1,3,0,1,2.5,2.5,1,1,0,3,-1.854035858,1.796969309,0.040937237,3.739059927,149,-3.50E-02
136,6,4,1,5,1,2,1,0,-1,1,0,0,0,2,0.370965497,4.021970663,-0.960088822,2.738033868,150,-1.30E-02
139,1,5,1,6,2,1,1,1,-1.5,1.5,0,0,0,2,2.105295417,4.196987423,-0.477126112,0.919321814,151,-5.00E-02
139,2,3,1,6.333333333,2,3,1,0,5.5,5.5,1,1,1,6,0.105295417,2.196987423,-0.742762345,0.653685581,152,-7.88E-03
139,3,2,1,6,2,2,0,0,2,2,1,1,0,4,-0.894704583,1.196987423,-0.875580461,0.520867464,153,-3.69E-02
139,4,1,3,4,1,1,0,1,-7.5,7.5,0,0,1,1,-1.210359257,0.881332748,0.991601422,2.388049348,154,-2.13E-02
139,5,3,1,6.75,1,3,1,1,-0.5,0.5,1,0,0,3,0.105295417,2.196987423,-0.742762345,0.653685581,155,-1.27E-02
139,6,1,1,6,1,2,0,0,-4,4,0,0,1,2,-1.894704583,0.196987423,-1.008398578,0.388049348,156,-3.93E-02
140,1,4,2,6,2,1,0,1,-2.5,2.5,0,0,0,2,0.093868916,5.248949896,0.180691884,2.953392895,157,3.37E-02
140,2,5,1,5.75,2,3,1,1,4.5,4.5,1,1,1,6,0.662648591,5.817729571,-0.566799336,2.205901676,158,-3.66E-02
140,3,4,1,5.25,2,2,0,0,1,1,1,1,0,4,-0.337351409,4.817729571,-0.819308116,1.953392895,159,-1.41E-03
140,4,4,4,5.25,1,1,0,1,-4.5,4.5,0,0,1,1,0.956309564,6.111390544,2.180691884,4.953392895,160,-5.08E-02
140,5,4,1,5.333333333,1,3,1,0,2.5,2.5,1,1,1,3,-0.337351409,4.817729571,-0.819308116,1.953392895,161,-3.94E-02
140,6,4,1,5.25,1,2,1,0,-1,1,0,0,0,2,-0.337351409,4.817729571,-0.819308116,1.953392895,162,1.25E-02
